location,state,type,so2,no2,rspm,spm,pm2_5,date,Year,Month,SOi,Noi,Rpi,SPMi,AQI,AQI_Range
Rudrapur,Uttarakhand,Industrial Area,8.0,22.0,128.0,187.0,32.0,2015-12-30,2015.0,12.0,10.0,27.5,0.0,158.0,158.0,Poor
SANAND,Gujarat,RIRUO,14.0,21.0,100.0,187.0,34.0,2015-03-26,2015.0,3.0,17.5,26.25,0.0,158.0,158.0,Poor
SILIGURI,West Bengal,RIRUO,2.0,16.0,102.0,187.0,32.0,2015-12-30,2015.0,12.0,2.5,20.0,0.0,158.0,158.0,Poor
Sagar,Madhya Pradesh,"Residential, Rural and other Areas",2.0,11.0,108.0,187.0,54.16,2015-12-29,2015.0,12.0,2.5,13.75,0.0,158.0,158.0,Poor
Saharanpur,Uttar Pradesh,"Residential, Rural and other Areas",31.0,22.0,38.0,187.0,32.0,2011-11-08,2011.0,8.0,38.75,27.5,0.0,158.0,158.0,Poor
Salem,Tamil Nadu,"Residential, Rural and other Areas",7.0,29.0,47.0,187.0,14.0,2015-12-30,2015.0,12.0,8.75,36.25,0.0,158.0,158.0,Poor
Sambalpur,Odisha,"Residential, Rural and other Areas",5.0,19.0,84.0,187.0,48.0,2015-12-30,2015.0,12.0,6.25,23.75,0.0,158.0,158.0,Poor
Sangareddy,Telangana,"Residential, Rural and other Areas",5.0,24.0,80.0,187.0,32.0,2015-12-29,2015.0,12.0,6.25,30.0,0.0,158.0,158.0,Poor
Sangli,Maharashtra,"Residential, Rural and other Areas",10.0,51.0,140.0,187.0,32.0,2015-12-31,2015.0,12.0,12.5,63.75,0.0,158.0,158.0,Poor
Sangrur,Punjab,"Residential, Rural and other Areas",4.0,13.0,102.0,187.0,32.0,2015-12-31,2015.0,12.0,5.0,16.25,0.0,158.0,158.0,Poor
Sanguem,Goa,"Residential, Rural and other Areas",4.0,10.0,62.0,187.0,19.0,2015-12-29,2015.0,12.0,5.0,12.5,0.0,158.0,158.0,Poor
Sankrail,West Bengal,Industrial Area,15.0,71.0,187.0,187.0,32.0,2011-12-30,2011.0,12.0,18.75,88.75,0.0,158.0,158.0,Poor
Saraikela Kharsawan,Jharkhand,"Residential, Rural and other Areas",34.0,41.0,96.0,187.0,32.0,2015-07-30,2015.0,7.0,42.5,51.25,0.0,158.0,158.0,Poor
Sarigam,Gujarat,RIRUO,14.0,21.0,93.0,187.0,31.0,2015-03-27,2015.0,3.0,17.5,26.25,0.0,158.0,158.0,Poor
Satna,Madhya Pradesh,"Residential, Rural and other Areas",8.0,22.0,49.0,187.0,32.0,2015-09-28,2015.0,9.0,10.0,27.5,0.0,158.0,158.0,Poor
Shillong,Meghalaya,"Residential, Rural and other Areas",2.0,5.0,26.0,187.0,32.0,2015-08-27,2015.0,8.0,2.5,6.25,0.0,158.0,158.0,Poor
Shimla,Himachal Pradesh,"Residential, Rural and other Areas",3.666666667,15.76666667,59.8,187.0,32.0,2015-12-31,2015.0,12.0,4.58333333375,19.7083333375,0.0,158.0,158.0,Poor
Shimoga,Karnataka,Industrial Area,4.0,7.0,43.0,187.0,32.0,2015-12-28,2015.0,12.0,5.0,8.75,0.0,158.0,158.0,Poor
Sibsagar,Assam,Residential and others,4.3,12.5,114.0,230.0,32.0,2009-12-06,2009.0,6.0,5.375,15.625,0.0,186.66666666666666,186.66666666666666,Poor
Silchar,Assam,Residential and others,3.8,13.3,39.0,60.0,32.0,2009-12-09,2009.0,9.0,4.75,16.625,0.0,60.0,60.0,Moderate
Silcher,Assam,"Residential, Rural and other Areas",9.0,22.0,73.0,187.0,32.0,2015-12-26,2015.0,12.0,11.25,27.5,0.0,158.0,158.0,Poor
